"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
274,3.0,7.0,78.0,4140.0,12.0,3.0,3.0,8.0,True,False,True
275,1123.0,9.0,3.0,2.0,1.0,0.0,4.0,1831.0,True,True,False
276,0.0,1.0,10.0,6149.0,59.0,1.0,0.0,6.0,True,True,False
277,510.0,32.0,4.0,4.0,2.0,0.0,2.0,1891.0,True,True,False
278,0.0,1.0,20.0,8391.0,101.0,1.0,1.0,1.0,True,True,False
279,415.0,23.0,3.0,4.0,2.0,0.0,2.0,1846.0,True,True,False
280,0.0,1.0,22.0,9149.0,104.0,1.0,1.0,1.0,True,True,False
281,372.0,20.0,4.0,5.0,2.0,0.0,2.0,1815.0,True,True,False
282,0.0,1.0,25.0,9520.0,107.0,1.0,1.0,1.0,True,True,False
283,475.0,15.0,4.0,4.0,2.0,1.0,4.0,1941.0,True,True,False
284,1.0,1.0,10.0,3461.0,30.0,1.0,0.0,4.0,True,True,False
285,509.0,15.0,4.0,4.0,2.0,1.0,2.0,2067.0,True,True,False
286,1.0,1.0,10.0,4267.0,46.0,1.0,0.0,3.0,True,True,False
287,519.0,19.0,4.0,4.0,1.0,0.0,2.0,2262.0,True,True,False
288,1.0,1.0,11.0,3818.0,29.0,1.0,1.0,2.0,True,True,False
289,586.0,27.0,13.0,22.0,11.0,2.0,1.0,15.0,True,False,True
290,76.0,221.0,104.0,3722.0,8.0,1.0,1.0,7.0,True,False,True
291,637.0,23.0,11.0,15.0,9.0,1.0,1.0,14.0,True,False,True
292,18.0,47.0,212.0,3947.0,9.0,1.0,0.0,3.0,True,False,True
293,417.0,36.0,33.0,31.0,21.0,7.0,3.0,25.0,True,False,True
294,15.0,107.0,722.0,3839.0,11.0,1.0,1.0,2.0,True,False,True
295,608.0,48.0,18.0,15.0,10.0,1.0,1.0,17.0,True,False,True
296,1.0,2.0,49.0,6105.0,17.0,2.0,1.0,2.0,True,False,True
297,616.0,69.0,12.0,12.0,6.0,1.0,1.0,14.0,True,False,True
298,6.0,36.0,79.0,3889.0,13.0,4.0,1.0,4.0,True,False,True
299,993.0,48.0,9.0,17.0,8.0,2.0,2.0,16.0,True,False,True
300,0.0,1.0,49.0,4061.0,10.0,2.0,1.0,1.0,True,False,True
301,577.0,46.0,7.0,4.0,1.0,0.0,5.0,2172.0,True,True,False
302,0.0,0.0,9.0,7695.0,45.0,2.0,0.0,4.0,True,True,False
303,654.0,46.0,5.0,4.0,2.0,0.0,4.0,2036.0,True,True,False
304,0.0,1.0,9.0,7910.0,49.0,2.0,0.0,3.0,True,True,False
305,469.0,56.0,12.0,7.0,2.0,0.0,3.0,2084.0,True,True,False
306,0.0,0.0,25.0,10175.0,41.0,1.0,0.0,1.0,True,True,False
307,559.0,50.0,6.0,4.0,1.0,0.0,4.0,2001.0,True,True,False
308,0.0,0.0,8.0,7907.0,55.0,1.0,0.0,3.0,True,True,False
309,585.0,51.0,6.0,3.0,1.0,0.0,5.0,2001.0,True,True,False
310,0.0,1.0,7.0,7812.0,58.0,1.0,0.0,3.0,True,True,False
311,718.0,51.0,6.0,4.0,0.0,0.0,9.0,2056.0,True,True,False
312,0.0,1.0,8.0,7791.0,43.0,1.0,0.0,2.0,True,True,False
313,860.0,55.0,6.0,4.0,0.0,0.0,18.0,2061.0,True,True,False
314,0.0,0.0,9.0,7987.0,42.0,1.0,0.0,2.0,True,True,False
315,477.0,28.0,8.0,9.0,19.0,1.0,2.0,16.0,True,False,True
316,19.0,8.0,48.0,4454.0,53.0,3.0,3.0,34.0,True,False,True
317,520.0,58.0,13.0,15.0,22.0,2.0,1.0,16.0,True,False,True
318,4.0,4.0,53.0,4691.0,54.0,2.0,2.0,5.0,True,False,True
